Geneid	Bl6colon71	Bl6colon72	Bl6colon73	Bl6colon74	Bl6colon75	Bl6colon76	Co08V381c	Co10V381c	Co11V381c	Co13V581a	Co14V581a	Co15V581a	Co53V582a	Co55V582a
ENSMUSG00000104478	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104385	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086053	0	0	0	5	0	0	6	3	0	0	0	6	0	0
ENSMUSG00000101231	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102135	0	0	0	4	10	0	6	28	6	2	2	6	0	2
ENSMUSG00000103282	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101097	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100764	11	2	3	3	7	0	6	0	0	1	2	0	4	20
ENSMUSG00000102534	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100831	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100884	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100635	3	2	3	4	2	0	0	0	0	4	0	0	1	4
ENSMUSG00000102213	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100480	9	6	2	9	8	14	2	10	8	3	6	18	3	0
ENSMUSG00000089037	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103629	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002076531	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100025	6	0	2	6	2	2	2	14	2	2	4	2	2	10
ENSMUSG00000051285	3358	3046	3356	4458	3918	4109	1394	1484	1486	2621	3867	2960	2060	2498
ENSMUSG00000098201	0	0	0	0	0	0	0	0	0	0	0	6	0	0
ENSMUSG00000103509	142	140	77	86	107	120	14	24	36	46	190	67	88	116
ENSMUSG00000048538	24	16	36	14	34	28	4	5	2	4	8	4	12	6
ENSMUSG00000103709	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077244	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102768	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097797	47	56	75	51	86	72	100	130	79	78	63	92	76	208
ENSMUSG00000103498	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103067	154	150	161	151	143	127	288	270	262	73	57	93	312	404
ENSMUSG00000102320	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104226	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSMUSG00000103903	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103557	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026312	0	0	0	0	2	8	6	12	0	0	0	0	12	4
ENSMUSG00000100290	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100758	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099926	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000039748	170	152	200	150	130	138	415	479	315	105	95	152	491	482
ENSMUSG00000118715	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSMUSG00000104158	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103540	0	0	0	0	0	0	0	14	6	0	0	0	0	0
ENSMUSG00000057363	1412	1271	1315	1338	1208	1488	1091	1128	914	1088	1078	1166	1191	1528
ENSMUSG00000047216	303	244	307	705	424	469	151	218	44	72	130	44	100	82
ENSMUSG00000102788	0	0	8	2	12	2	0	0	0	0	6	0	6	1
ENSMUSG00000102160	2	3	0	4	8	8	0	6	0	0	2	8	0	0
ENSMUSG00000101253	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101846	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000090243	0	0	0	0	0	2	0	0	6	2	10	0	0	8
ENSMUSG00000100701	12	16	2	0	6	10	0	0	0	5	0	2	8	6
ENSMUSG00000100555	6	0	0	0	0	0	2	0	0	0	2	0	0	0
ENSMUSG00000101395	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102728	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088848	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002075225	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000038702	272	252	260	388	328	404	240	164	186	158	210	148	254	350
ENSMUSG00000101875	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099732	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101220	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100020	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101054	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088691	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099884	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100304	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101453	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102105	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099943	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002075119	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097648	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101687	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100515	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033021	2893	2970	3077	3425	2882	3291	2859	2589	2989	2986	2994	3670	2742	2904
ENSMUSG00000055214	26	20	20	38	38	6	10	30	26	33	14	6	11	20
ENSMUSG00000078184	8	4	8	4	2	8	22	16	16	10	12	0	20	8
ENSMUSG00000104363	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103277	0	0	0	0	0	0	0	4	0	0	0	0	0	0
ENSMUSG00000104157	2	0	0	2	0	2	0	0	0	0	0	8	0	0
ENSMUSG00000102446	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104248	0	0	0	0	0	0	0	20	14	0	0	0	0	0
ENSMUSG00000104021	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103471	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087875	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033007	8	6	8	28	13	17	0	10	14	15	74	4	6	4
ENSMUSG00000102605	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070695	18	32	26	64	46	36	44	47	6	16	16	2	26	4
ENSMUSG00000025909	25	26	18	24	12	20	18	44	2	10	6	4	37	22
ENSMUSG00002076179	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102033	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102647	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086235	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102253	0	0	0	0	0	0	0	3	0	0	0	0	0	0
ENSMUSG00002074990	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094429	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103884	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSMUSG00000084353	2	0	0	3	4	1	21	2	8	2	4	8	6	0
ENSMUSG00000103933	5	12	8	4	6	9	12	19	34	6	2	7	10	6
ENSMUSG00002075967	5	4	0	7	0	5	4	11	0	4	3	4	0	2
ENSMUSG00000086195	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ENSMUSG00000104504	0	0	0	0	0	0	0	0	0	0	0	0	4	0
ENSMUSG00000066693	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ENSMUSG00000102316	0	0	0	0	0	0	0	27	0	0	0	0	0	0
ENSMUSG00000103819	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102871	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101571	0	8	0	0	0	0	0	0	0	0	2	4	0	0
ENSMUSG00000104428	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102272	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065625	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103411	0	0	2	0	0	0	0	3	0	0	0	1	2	6
ENSMUSG00000061024	1579	1200	1148	1068	790	965	1916	1818	1476	652	1100	858	1760	1836
ENSMUSG00000102030	2	2	6	4	4	2	2	0	0	11	0	2	2	50
ENSMUSG00000099870	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026374	2815	2605	2701	3288	2636	2856	3124	3106	3365	2001	2553	2215	3149	3030
ENSMUSG00000026377	1121	1138	1119	1138	1136	1259	1672	1657	1851	636	951	850	1557	2154
ENSMUSG00000099936	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025911	74	101	68	236	100	101	44	73	48	44	61	44	76	81
ENSMUSG00000081441	2	2	4	0	6	8	12	8	0	2	2	2	8	4
ENSMUSG00000067879	8	14	10	10	4	4	16	6	0	6	14	6	2	10
ENSMUSG00000099827	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000057335	365	382	350	621	383	354	985	638	697	246	509	249	863	537
ENSMUSG00000103634	0	0	2	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000104154	0	6	4	0	0	0	0	0	0	0	0	0	7	0
ENSMUSG00000103435	0	0	0	0	0	0	6	0	0	0	3	0	0	2
ENSMUSG00000065573	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002076271	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000100551	12	8	6	10	4	4	14	10	6	2	14	12	2	6
ENSMUSG00000100357	0	0	0	0	0	0	0	0	4	0	0	0	0	0
ENSMUSG00000025912	45	73	96	110	66	72	294	262	84	116	242	154	198	192
ENSMUSG00000045210	1805	1882	1735	2208	1822	1854	1145	1049	1164	1445	2084	1755	1659	1751
ENSMUSG00000041763	3050	2702	2538	2814	2685	2811	2134	1631	1812	2034	2507	2273	2621	2582
ENSMUSG00000026504	256	249	386	459	376	359	406	316	515	253	502	472	319	435
ENSMUSG00000103367	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103584	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002076339	0	0	0	0	1	0	0	0	0	0	0	0	0	2
ENSMUSG00000102475	0	0	0	4	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047343	8	0	6	16	2	4	0	0	0	6	5	13	6	0
ENSMUSG00000102211	8	0	4	0	10	5	50	24	28	11	11	4	3	19
ENSMUSG00000087082	0	0	0	2	0	0	0	0	0	0	0	2	2	0
ENSMUSG00000090106	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103251	0	0	0	0	0	0	6	0	0	0	0	6	2	8
ENSMUSG00000091844	12	6	2	12	0	2	56	16	24	26	34	24	21	22
ENSMUSG00000026483	9836	9618	9666	12509	10479	11651	2674	4091	2460	4330	5925	4850	5961	2229
ENSMUSG00000082528	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082012	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099996	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101763	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100827	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100553	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098611	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100534	0	0	0	1	0	0	0	8	0	5	0	0	2	0
ENSMUSG00000102904	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002076350	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000019699	820	766	794	1225	841	975	463	680	450	485	1476	1159	750	1232
ENSMUSG00000104391	0	0	2	2	0	0	0	0	0	10	20	0	2	22
ENSMUSG00000102133	0	0	0	0	0	0	3	0	10	0	2	12	0	3
ENSMUSG00000102749	0	0	0	0	0	0	0	0	0	0	2	0	2	0
ENSMUSG00000103163	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000103646	0	0	0	0	0	0	2	70	16	6	5	2	4	2
ENSMUSG00000102427	0	0	0	0	2	0	0	0	0	0	4	0	4	0
ENSMUSG00000103633	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097892	39	27	48	57	36	50	4	57	47	34	16	33	37	72
ENSMUSG00000063659	3419	2702	3043	3526	2789	3016	1778	1594	1696	2747	3543	3450	2704	3176
ENSMUSG00000102432	4	16	5	10	12	8	0	22	4	8	18	0	6	4
ENSMUSG00000103043	2	2	0	0	12	5	0	0	0	0	4	4	4	0
ENSMUSG00000102885	0	0	0	2	0	0	0	3	0	0	0	0	0	0
ENSMUSG00000026049	251	167	186	225	131	177	507	483	398	261	326	306	470	456
ENSMUSG00000103767	2	0	0	0	2	0	0	6	0	0	6	0	0	0
ENSMUSG00000043019	3677	3487	2677	3453	3265	3467	1131	913	996	2899	3067	3212	2886	3159
ENSMUSG00000101104	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000015962	0	2	14	0	0	4	60	80	80	46	2	8	22	26
ENSMUSG00000032666	1865	1813	1693	1764	1732	1653	815	1083	1397	1346	1350	1680	888	1607
ENSMUSG00000084557	0	0	0	0	0	6	0	0	0	0	0	2	0	4
ENSMUSG00000100685	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102090	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103744	0	0	0	0	0	0	0	0	0	0	0	0	0	0
