Geneid	Col_100	Col_131	Col_182	Col_184	Col_186	Col_195	Col_326	Col_87	Col_9
ENSMUSG00000104478	0	0	0	0	0	0	0	0	0
ENSMUSG00000104385	0	0	0	0	0	0	0	0	0
ENSMUSG00000086053	0	0	0	0	2	0	0	0	0
ENSMUSG00000101231	0	0	0	0	0	0	0	0	0
ENSMUSG00000102135	10	8	0	2	10	8	10	0	6
ENSMUSG00000103282	0	0	0	0	0	0	0	0	0
ENSMUSG00000101097	0	0	0	0	0	0	0	0	0
ENSMUSG00000100764	14	8	5	4	2	8	4	2	5
ENSMUSG00000102534	0	0	0	0	0	0	0	0	0
ENSMUSG00000100831	0	0	0	0	0	0	0	0	0
ENSMUSG00000100884	0	0	0	0	0	0	0	0	0
ENSMUSG00000100635	0	4	5	0	3	2	0	0	4
ENSMUSG00000102213	0	0	0	0	0	0	0	0	0
ENSMUSG00000100480	12	16	10	16	5	11	2	4	0
ENSMUSG00000089037	0	0	0	0	0	0	0	0	0
ENSMUSG00000103629	0	0	0	0	0	0	0	0	0
ENSMUSG00002076531	0	0	0	0	0	0	0	0	0
ENSMUSG00000100025	18	0	2	8	8	4	2	0	0
ENSMUSG00000051285	2295	2708	2778	2919	2152	2896	3077	2291	2501
ENSMUSG00000098201	0	0	0	6	2	0	0	0	0
ENSMUSG00000103509	42	63	144	111	59	113	136	41	40
ENSMUSG00000048538	14	14	12	20	16	18	20	8	6
ENSMUSG00000103709	0	0	0	0	0	0	0	0	0
ENSMUSG00000077244	0	0	0	0	0	0	0	0	0
ENSMUSG00000102768	0	0	0	0	0	0	0	0	0
ENSMUSG00000097797	62	37	61	71	45	72	58	67	48
ENSMUSG00000103498	0	0	0	0	0	0	0	0	0
ENSMUSG00000103067	228	102	22	65	86	117	40	239	60
ENSMUSG00000102320	0	0	0	0	0	0	0	0	0
ENSMUSG00000104226	0	0	0	0	0	0	0	0	0
ENSMUSG00000103903	0	0	0	0	0	0	0	0	0
ENSMUSG00000103557	0	0	0	0	0	0	0	0	0
ENSMUSG00000026312	2	0	10	4	0	6	8	0	12
ENSMUSG00000100290	0	0	0	0	0	0	0	0	0
ENSMUSG00000100758	0	0	0	0	0	0	0	0	0
ENSMUSG00000099926	0	0	0	0	0	0	0	0	0
ENSMUSG00000039748	284	196	225	261	238	86	72	85	128
ENSMUSG00000118715	0	0	0	0	0	0	0	0	2
ENSMUSG00000104158	0	0	0	0	0	0	0	0	0
ENSMUSG00000103540	0	0	0	0	0	0	0	0	0
ENSMUSG00000057363	2354	2075	1379	1814	1468	1562	1686	1753	1596
ENSMUSG00000047216	34	44	88	121	34	214	181	53	30
ENSMUSG00000102788	4	0	0	4	0	4	4	0	0
ENSMUSG00000102160	0	0	2	0	4	2	0	0	0
ENSMUSG00000101253	0	0	0	0	0	0	0	0	0
ENSMUSG00000101846	0	0	0	0	0	0	0	0	0
ENSMUSG00000090243	0	2	0	0	2	0	2	2	0
ENSMUSG00000100701	4	16	12	2	4	2	3	4	8
ENSMUSG00000100555	0	0	0	2	2	0	0	0	4
ENSMUSG00000101395	0	0	0	0	0	0	0	0	0
ENSMUSG00000102728	0	0	0	0	0	2	0	0	2
ENSMUSG00000088848	0	0	0	0	0	0	0	0	0
ENSMUSG00002075225	0	0	0	0	0	0	0	0	0
ENSMUSG00000038702	202	194	178	192	168	205	246	140	230
ENSMUSG00000101875	0	0	0	0	0	0	0	0	0
ENSMUSG00000099732	0	0	0	0	0	0	0	0	0
ENSMUSG00000101220	0	0	0	0	0	0	0	0	0
ENSMUSG00000100020	0	0	0	0	0	0	0	0	0
ENSMUSG00000101054	0	0	0	0	0	0	0	0	0
ENSMUSG00000088691	0	0	0	0	0	0	0	0	0
ENSMUSG00000099884	0	0	0	0	0	0	0	0	0
ENSMUSG00000100304	0	0	0	0	0	0	0	0	0
ENSMUSG00000101453	0	0	0	0	0	0	0	0	0
ENSMUSG00000102105	0	0	0	0	0	0	0	0	0
ENSMUSG00000099943	0	0	0	0	0	0	0	0	0
ENSMUSG00002075119	0	0	0	0	0	0	0	0	0
ENSMUSG00000097648	0	0	0	0	0	0	0	0	0
ENSMUSG00000101687	0	0	0	0	0	0	0	0	0
ENSMUSG00000100515	0	0	0	0	0	0	0	0	0
ENSMUSG00000033021	3202	3419	2791	3169	2710	2706	2543	2527	2517
ENSMUSG00000055214	12	8	8	10	6	16	31	12	30
ENSMUSG00000078184	12	10	0	4	4	4	6	10	2
ENSMUSG00000104363	0	6	0	0	0	0	0	0	0
ENSMUSG00000103277	0	0	0	0	0	0	0	0	0
ENSMUSG00000104157	0	0	0	0	0	0	0	0	0
ENSMUSG00000102446	0	0	0	0	0	0	0	0	0
ENSMUSG00000104248	0	0	0	0	0	0	0	0	0
ENSMUSG00000104021	0	0	0	0	0	0	0	0	0
ENSMUSG00000103471	0	0	0	0	0	0	0	0	0
ENSMUSG00000087875	0	0	0	0	0	0	0	0	0
ENSMUSG00000033007	12	10	9	10	12	12	19	4	11
ENSMUSG00000102605	0	0	0	0	2	0	0	0	0
ENSMUSG00000070695	10	4	14	14	30	22	14	6	24
ENSMUSG00000025909	9	4	2	14	6	8	14	8	16
ENSMUSG00002076179	0	0	0	0	0	0	0	0	0
ENSMUSG00000102033	0	0	0	0	0	0	0	0	0
ENSMUSG00000102647	0	0	0	0	0	0	0	0	0
ENSMUSG00000086235	0	0	0	0	0	0	0	0	0
ENSMUSG00000102253	2	0	0	0	0	0	0	0	0
ENSMUSG00002074990	0	0	0	0	0	0	0	0	0
ENSMUSG00000094429	0	0	0	0	0	0	0	0	0
ENSMUSG00000103884	0	0	0	0	0	0	0	0	0
ENSMUSG00000084353	6	8	11	4	10	0	2	6	0
ENSMUSG00000103933	20	3	6	12	4	5	5	4	22
ENSMUSG00002075967	4	5	3	2	2	1	5	0	2
ENSMUSG00000086195	0	2	0	0	0	0	0	0	0
ENSMUSG00000104504	0	0	0	0	0	0	0	0	0
ENSMUSG00000066693	0	0	0	0	2	0	0	0	0
ENSMUSG00000102316	0	0	0	0	0	0	0	0	0
ENSMUSG00000103819	0	0	0	0	0	0	0	0	0
ENSMUSG00000102871	0	0	0	2	0	0	0	0	0
ENSMUSG00000101571	0	0	0	0	0	4	0	0	0
ENSMUSG00000104428	0	0	0	0	0	0	0	0	0
ENSMUSG00000102272	2	0	0	0	0	0	0	0	0
ENSMUSG00000065625	0	0	0	0	0	0	0	0	0
ENSMUSG00000103411	2	0	2	0	0	0	2	0	0
ENSMUSG00000061024	1416	924	772	970	972	622	803	766	1062
ENSMUSG00000102030	26	4	13	0	12	6	0	5	0
ENSMUSG00000099870	0	0	0	0	0	0	0	0	0
ENSMUSG00000026374	3199	2752	2138	2477	2293	2011	2317	2329	2585
ENSMUSG00000026377	1230	1059	943	1269	1079	937	990	1100	1278
ENSMUSG00000099936	0	0	0	0	0	0	0	0	0
ENSMUSG00000025911	24	53	46	26	61	31	60	32	42
ENSMUSG00000081441	2	8	2	4	0	4	0	4	4
ENSMUSG00000067879	0	4	1	2	4	0	9	0	2
ENSMUSG00000099827	0	0	0	0	0	0	0	0	0
ENSMUSG00000057335	110	162	201	230	96	185	351	127	345
ENSMUSG00000103634	0	0	0	0	0	2	0	0	0
ENSMUSG00000104154	2	0	0	0	2	0	2	0	0
ENSMUSG00000103435	0	0	0	0	0	0	0	1	0
ENSMUSG00000065573	0	0	0	0	0	0	0	0	0
ENSMUSG00002076271	0	0	0	0	0	0	0	0	0
ENSMUSG00000100551	12	0	8	10	9	4	10	6	4
ENSMUSG00000100357	0	0	0	0	0	0	0	0	0
ENSMUSG00000025912	70	215	105	187	97	40	78	58	236
ENSMUSG00000045210	1655	1758	1593	1880	1526	1379	1902	1409	2023
