Geneid	D4_131	D4_182	D4_184	D4_187	D4_195	D4_284	D4_321	D4_326	D4_87
ENSMUSG00000104478	0	0	0	0	0	0	0	0	0
ENSMUSG00000104385	0	0	0	0	0	0	0	0	0
ENSMUSG00000086053	0	0	0	0	0	0	0	0	0
ENSMUSG00000101231	0	0	0	0	0	0	0	0	0
ENSMUSG00000102135	8	4	0	12	0	6	4	2	0
ENSMUSG00000103282	0	0	0	0	0	0	0	0	0
ENSMUSG00000101097	0	0	0	0	0	0	0	0	0
ENSMUSG00000100764	0	4	2	18	0	6	14	2	3
ENSMUSG00000102534	0	0	0	0	0	0	0	0	0
ENSMUSG00000100831	0	0	0	0	0	0	0	0	0
ENSMUSG00000100884	0	0	0	0	0	0	0	0	0
ENSMUSG00000100635	0	0	0	0	0	0	0	2	0
ENSMUSG00000102213	0	0	0	0	0	0	0	0	0
ENSMUSG00000100480	6	1	3	4	0	3	3	2	2
ENSMUSG00000089037	0	0	0	0	0	0	0	0	0
ENSMUSG00000103629	0	0	0	0	0	0	0	0	0
ENSMUSG00002076531	0	0	0	0	0	0	0	0	0
ENSMUSG00000100025	6	0	0	0	2	16	0	6	2
ENSMUSG00000051285	1148	1190	1072	1152	880	1500	1900	1717	860
ENSMUSG00000098201	1	0	1	0	0	0	4	0	0
ENSMUSG00000103509	30	30	51	38	16	28	52	29	4
ENSMUSG00000048538	8	4	0	8	10	16	14	14	0
ENSMUSG00000103709	0	0	0	0	0	0	0	0	0
ENSMUSG00000077244	0	0	0	0	0	0	0	0	0
ENSMUSG00000102768	0	0	0	0	0	0	0	0	0
ENSMUSG00000097797	39	26	6	158	8	20	87	35	36
ENSMUSG00000103498	0	0	0	0	0	0	0	0	0
ENSMUSG00000103067	88	8	18	124	10	2	105	0	46
ENSMUSG00000102320	0	0	0	0	0	0	0	0	0
ENSMUSG00000104226	0	0	0	0	0	0	0	0	0
ENSMUSG00000103903	0	0	0	0	0	0	0	0	0
ENSMUSG00000103557	0	0	0	0	0	0	0	0	0
ENSMUSG00000026312	0	0	0	0	2	0	0	0	0
ENSMUSG00000100290	0	0	0	0	0	0	0	0	0
ENSMUSG00000100758	0	0	0	0	0	0	0	0	0
ENSMUSG00000099926	0	0	0	0	0	0	0	0	0
ENSMUSG00000039748	54	98	41	769	35	71	478	98	169
ENSMUSG00000118715	0	0	0	0	0	0	0	0	0
ENSMUSG00000104158	0	0	0	0	0	0	0	0	0
ENSMUSG00000103540	0	0	0	0	0	0	0	0	0
ENSMUSG00000057363	952	558	664	1682	519	724	1411	923	773
ENSMUSG00000047216	10	14	8	29	10	26	40	38	7
ENSMUSG00000102788	0	0	0	0	0	0	0	0	0
ENSMUSG00000102160	0	0	0	0	0	0	0	0	0
ENSMUSG00000101253	0	0	0	0	0	0	0	0	0
ENSMUSG00000101846	0	0	0	0	0	0	0	0	0
ENSMUSG00000090243	0	2	2	2	0	0	2	0	0
ENSMUSG00000100701	4	3	4	6	4	4	12	0	0
ENSMUSG00000100555	0	0	0	0	0	0	10	0	0
ENSMUSG00000101395	0	0	0	0	0	0	0	0	0
ENSMUSG00000102728	0	0	0	0	0	0	0	0	0
ENSMUSG00000088848	0	0	0	0	0	0	0	0	0
ENSMUSG00002075225	0	0	0	0	0	0	0	0	0
ENSMUSG00000038702	56	76	46	220	10	92	236	108	30
ENSMUSG00000101875	0	0	0	0	0	0	0	0	0
ENSMUSG00000099732	0	0	0	0	0	0	0	0	0
ENSMUSG00000101220	0	0	0	0	0	0	0	0	0
ENSMUSG00000100020	0	0	0	0	0	0	0	0	0
ENSMUSG00000101054	0	0	0	0	0	0	0	0	0
ENSMUSG00000088691	0	0	0	0	0	0	0	0	0
ENSMUSG00000099884	0	0	0	0	0	0	0	0	0
ENSMUSG00000100304	0	0	0	0	0	0	0	0	0
ENSMUSG00000101453	0	0	0	0	0	0	0	0	0
ENSMUSG00000102105	0	0	0	0	0	0	0	0	0
ENSMUSG00000099943	0	0	0	0	0	0	0	0	0
ENSMUSG00002075119	0	0	0	0	0	0	0	0	0
ENSMUSG00000097648	0	0	0	0	0	0	0	0	0
ENSMUSG00000101687	0	0	0	0	0	0	0	0	0
ENSMUSG00000100515	0	0	0	0	0	0	0	0	0
ENSMUSG00000033021	2312	2294	2743	2371	2493	1677	3481	2881	2014
ENSMUSG00000055214	2	4	0	10	0	0	4	4	0
ENSMUSG00000078184	2	2	0	8	0	4	8	8	12
ENSMUSG00000104363	0	0	0	0	0	0	0	0	0
ENSMUSG00000103277	0	0	0	0	0	0	0	0	0
ENSMUSG00000104157	0	0	0	0	0	0	0	0	0
ENSMUSG00000102446	0	0	0	0	0	0	0	0	0
ENSMUSG00000104248	0	0	0	0	0	0	0	0	0
ENSMUSG00000104021	0	0	2	0	0	0	0	0	0
ENSMUSG00000103471	0	0	0	0	0	0	0	0	0
ENSMUSG00000087875	0	0	0	0	0	0	0	0	0
ENSMUSG00000033007	2	4	4	6	22	12	8	21	0
ENSMUSG00000102605	0	0	0	0	0	0	0	0	0
ENSMUSG00000070695	8	8	0	12	0	12	16	30	0
ENSMUSG00000025909	0	0	0	14	10	6	8	8	2
ENSMUSG00002076179	0	0	0	0	0	0	0	0	0
ENSMUSG00000102033	0	0	0	0	0	0	0	0	0
ENSMUSG00000102647	0	0	0	0	0	0	0	0	0
ENSMUSG00000086235	0	0	0	0	0	0	0	0	0
ENSMUSG00000102253	0	0	0	0	0	0	0	0	0
ENSMUSG00002074990	0	0	0	0	0	0	0	0	0
ENSMUSG00000094429	0	0	0	0	0	0	0	0	0
ENSMUSG00000103884	0	0	0	0	0	0	0	0	0
ENSMUSG00000084353	0	2	5	4	0	0	10	4	6
ENSMUSG00000103933	2	2	6	16	6	6	8	10	2
ENSMUSG00002075967	0	0	1	4	6	2	10	4	0
ENSMUSG00000086195	0	0	0	0	0	0	0	0	0
ENSMUSG00000104504	0	0	0	0	0	0	0	0	0
ENSMUSG00000066693	0	0	0	0	0	0	0	0	0
ENSMUSG00000102316	0	2	0	0	0	0	0	0	0
ENSMUSG00000103819	0	0	0	0	0	0	0	0	0
ENSMUSG00000102871	0	0	0	0	0	0	0	0	0
ENSMUSG00000101571	0	0	0	0	0	0	0	0	2
ENSMUSG00000104428	0	0	0	0	0	0	0	0	0
ENSMUSG00000102272	0	0	0	0	0	0	0	0	0
ENSMUSG00000065625	0	0	0	0	0	0	0	0	0
ENSMUSG00000103411	0	0	0	0	0	0	0	0	0
ENSMUSG00000061024	384	489	228	3652	186	522	1232	462	594
ENSMUSG00000102030	20	0	2	0	0	2	14	6	4
ENSMUSG00000099870	0	0	0	0	0	0	0	0	0
ENSMUSG00000026374	1750	1686	1430	3803	1180	1692	3853	2499	1712
ENSMUSG00000026377	666	584	362	2808	312	611	1615	859	868
ENSMUSG00000099936	0	0	0	0	0	0	0	0	0
ENSMUSG00000025911	19	23	8	64	10	29	105	34	16
ENSMUSG00000081441	0	3	4	6	0	16	6	4	6
ENSMUSG00000067879	0	0	0	0	0	4	0	1	0
ENSMUSG00000099827	0	0	0	0	0	0	0	0	0
ENSMUSG00000057335	64	55	68	397	52	254	113	146	88
ENSMUSG00000103634	0	0	0	0	0	0	0	0	0
ENSMUSG00000104154	2	0	0	0	0	0	0	0	0
ENSMUSG00000103435	0	0	0	0	0	0	0	0	0
ENSMUSG00000065573	0	0	0	0	0	0	0	0	0
ENSMUSG00002076271	0	0	0	0	0	0	0	0	0
ENSMUSG00000100551	8	2	8	2	10	10	14	6	16
ENSMUSG00000100357	0	0	0	0	0	0	0	0	0
ENSMUSG00000025912	26	41	14	115	4	564	82	41	52
ENSMUSG00000045210	2397	2485	2092	2204	2012	1987	2940	2343	1327
