Geneid	EV1	EV2	EV3	WT1	WT2	WT3
ENSMUSG00000104478	0	0	0	0	0	0
ENSMUSG00000104385	0	0	0	0	0	0
ENSMUSG00000086053	0	0	0	0	0	0
ENSMUSG00000101231	0	0	0	0	0	0
ENSMUSG00000102135	6	8	11	6	8	8
ENSMUSG00000103282	0	0	0	0	0	0
ENSMUSG00000101097	0	0	0	0	0	0
ENSMUSG00000100764	3	0	7	0	0	0
ENSMUSG00000102534	0	0	0	0	0	0
ENSMUSG00000100831	0	0	0	0	0	0
ENSMUSG00000100884	0	0	0	0	0	0
ENSMUSG00000100635	1	2	0	2	0	0
ENSMUSG00000102213	0	0	0	0	0	0
ENSMUSG00000100480	0	4	0	4	6	0
ENSMUSG00000089037	0	0	0	0	0	0
ENSMUSG00000103629	0	0	0	0	0	0
ENSMUSG00002076531	0	0	0	0	0	0
ENSMUSG00000100025	24	18	12	14	6	16
ENSMUSG00000051285	852	763	753	1078	908	960
ENSMUSG00000098201	0	0	0	0	0	0
ENSMUSG00000103509	6	4	14	0	0	4
ENSMUSG00000048538	18	14	10	30	32	10
ENSMUSG00000103709	0	0	0	0	0	0
ENSMUSG00000077244	0	0	0	0	0	0
ENSMUSG00000102768	0	0	0	0	0	0
ENSMUSG00000097797	24	27	28	0	2	7
ENSMUSG00000103498	0	0	0	0	0	0
ENSMUSG00000103067	19	12	27	4	4	2
ENSMUSG00000102320	0	0	0	0	0	0
ENSMUSG00000104226	0	0	0	0	0	0
ENSMUSG00000103903	0	0	0	0	0	0
ENSMUSG00000103557	0	0	0	0	0	0
ENSMUSG00000026312	0	0	0	0	0	0
ENSMUSG00000100290	0	0	0	0	0	0
ENSMUSG00000100758	0	0	0	0	0	0
ENSMUSG00000099926	0	0	0	0	0	0
ENSMUSG00000039748	573	624	835	152	106	217
ENSMUSG00000118715	0	0	0	0	0	0
ENSMUSG00000104158	0	0	0	0	0	0
ENSMUSG00000103540	0	0	0	0	0	0
ENSMUSG00000057363	1095	1244	1801	532	448	684
ENSMUSG00000047216	13	18	12	34	36	40
ENSMUSG00000102788	0	0	0	0	0	0
ENSMUSG00000102160	0	0	0	0	0	0
ENSMUSG00000101253	0	0	0	0	0	0
ENSMUSG00000101846	0	0	0	0	0	0
ENSMUSG00000090243	0	2	0	0	0	0
ENSMUSG00000100701	8	8	12	20	26	28
ENSMUSG00000100555	0	0	0	0	0	0
ENSMUSG00000101395	0	0	0	0	0	0
ENSMUSG00000102728	0	0	0	0	0	0
ENSMUSG00000088848	0	0	0	0	0	0
ENSMUSG00002075225	0	0	0	0	0	0
ENSMUSG00000038702	194	128	250	50	54	66
ENSMUSG00000101875	0	0	0	0	0	0
ENSMUSG00000099732	0	0	0	0	0	0
ENSMUSG00000101220	0	0	0	0	0	0
ENSMUSG00000100020	0	0	0	0	0	0
ENSMUSG00000101054	0	0	0	0	0	0
ENSMUSG00000088691	0	0	0	0	0	0
ENSMUSG00000099884	0	0	0	0	0	0
ENSMUSG00000100304	0	0	0	0	0	0
ENSMUSG00000101453	0	0	0	0	0	0
ENSMUSG00000102105	0	0	0	0	0	0
ENSMUSG00000099943	0	0	0	0	0	0
ENSMUSG00002075119	0	0	0	0	0	0
ENSMUSG00000097648	0	0	0	0	0	0
ENSMUSG00000101687	0	0	0	0	0	0
ENSMUSG00000100515	0	0	0	0	0	0
ENSMUSG00000033021	2227	2457	3008	1877	1828	2220
ENSMUSG00000055214	6	2	4	6	6	4
ENSMUSG00000078184	10	18	16	6	22	6
ENSMUSG00000104363	0	0	0	0	0	0
ENSMUSG00000103277	0	0	0	0	0	0
ENSMUSG00000104157	2	0	0	0	0	0
ENSMUSG00000102446	0	0	0	0	0	0
ENSMUSG00000104248	0	0	0	0	0	0
ENSMUSG00000104021	0	0	0	0	0	0
ENSMUSG00000103471	0	0	0	0	0	0
ENSMUSG00000087875	0	0	0	0	0	0
ENSMUSG00000033007	0	0	0	4	4	4
ENSMUSG00000102605	0	0	0	2	0	0
ENSMUSG00000070695	6	12	6	16	26	18
ENSMUSG00000025909	4	8	8	8	10	0
ENSMUSG00002076179	0	0	0	0	0	0
ENSMUSG00000102033	0	0	0	0	0	0
ENSMUSG00000102647	0	0	0	0	0	0
ENSMUSG00000086235	0	2	0	2	0	0
ENSMUSG00000102253	0	0	0	0	0	0
ENSMUSG00002074990	0	0	0	0	0	0
ENSMUSG00000094429	0	0	0	0	0	0
ENSMUSG00000103884	0	0	0	0	0	0
ENSMUSG00000084353	8	6	14	6	4	0
ENSMUSG00000103933	18	18	13	31	18	6
ENSMUSG00002075967	6	2	5	1	4	0
ENSMUSG00000086195	0	0	0	0	0	0
ENSMUSG00000104504	0	0	0	0	0	0
ENSMUSG00000066693	2	0	2	0	0	0
ENSMUSG00000102316	0	0	0	0	0	0
ENSMUSG00000103819	0	0	0	0	0	0
ENSMUSG00000102871	0	0	0	0	0	0
ENSMUSG00000101571	0	0	0	0	0	0
ENSMUSG00000104428	0	0	0	0	0	0
ENSMUSG00000102272	0	0	0	0	0	0
