Geneid	a10	a15	a16	a17	a18	a19	a20	a9
ENSMUSG00000104478	0	0	0	0	0	0	0	0
ENSMUSG00000104385	0	0	0	0	0	0	0	0
ENSMUSG00000086053	0	0	0	0	0	0	0	0
ENSMUSG00000101231	0	0	0	0	0	0	0	0
ENSMUSG00000102135	0	6	2	0	0	0	0	0
ENSMUSG00000103282	0	0	0	0	0	0	0	0
ENSMUSG00000101097	0	0	0	0	0	0	0	0
ENSMUSG00000100764	6	8	0	0	1	0	10	6
ENSMUSG00000102534	0	0	0	0	0	0	0	0
ENSMUSG00000100831	0	0	0	0	0	0	0	0
ENSMUSG00000100884	0	0	0	0	0	0	0	0
ENSMUSG00000100635	4	0	0	0	0	2	4	2
ENSMUSG00000102213	0	0	0	0	0	0	0	0
ENSMUSG00000100480	2	2	5	9	4	3	6	4
ENSMUSG00000089037	0	0	0	0	0	0	0	0
ENSMUSG00000103629	0	0	0	0	0	0	0	0
ENSMUSG00002076531	0	0	0	0	0	0	0	0
ENSMUSG00000100025	2	2	2	4	6	2	2	2
ENSMUSG00000051285	3469	1419	1993	1753	1868	3173	3417	2665
ENSMUSG00000098201	0	0	0	0	0	0	0	0
ENSMUSG00000103509	81	3	37	20	33	80	98	139
ENSMUSG00000048538	28	22	6	12	20	12	13	22
ENSMUSG00000103709	0	0	0	0	0	0	0	0
ENSMUSG00000077244	0	0	0	0	0	0	0	0
ENSMUSG00000102768	0	0	0	0	0	0	0	0
ENSMUSG00000097797	28	18	14	26	22	19	23	20
ENSMUSG00000103498	0	0	0	0	0	0	0	0
ENSMUSG00000103067	25	70	62	119	72	19	34	21
ENSMUSG00000102320	0	0	0	0	0	0	2	0
ENSMUSG00000104226	0	0	0	0	0	0	0	0
ENSMUSG00000103903	0	0	0	0	0	0	0	0
ENSMUSG00000103557	0	0	0	0	0	0	0	0
ENSMUSG00000026312	4	0	0	6	0	6	4	2
ENSMUSG00000100290	0	0	0	0	0	0	0	0
ENSMUSG00000100758	0	0	0	0	0	0	0	0
ENSMUSG00000099926	0	0	0	0	0	0	0	0
ENSMUSG00000039748	230	454	549	408	470	281	435	280
ENSMUSG00000118715	0	0	0	0	0	0	0	0
ENSMUSG00000104158	0	0	6	0	0	0	0	0
ENSMUSG00000103540	0	0	0	2	0	0	0	0
ENSMUSG00000057363	1362	1225	1281	1223	1126	1339	1565	1500
ENSMUSG00000047216	245	44	59	70	46	201	241	207
ENSMUSG00000102788	2	0	0	0	0	6	2	2
ENSMUSG00000102160	2	0	0	1	0	0	5	0
ENSMUSG00000101253	1	0	0	0	0	0	0	0
ENSMUSG00000101846	0	0	0	0	0	0	0	0
ENSMUSG00000090243	0	0	0	2	0	0	0	0
ENSMUSG00000100701	10	10	10	10	2	11	6	4
ENSMUSG00000100555	0	0	4	0	0	0	0	0
ENSMUSG00000101395	0	0	0	0	0	0	0	0
ENSMUSG00000102728	0	2	0	0	0	0	0	0
ENSMUSG00000088848	0	0	0	0	0	0	0	0
ENSMUSG00002075225	0	0	0	0	0	0	0	0
ENSMUSG00000038702	440	406	594	394	446	520	596	332
ENSMUSG00000101875	0	0	0	0	0	0	0	0
ENSMUSG00000099732	0	0	0	0	0	0	0	0
ENSMUSG00000101220	0	0	0	0	0	0	0	0
ENSMUSG00000100020	0	0	0	0	0	0	0	0
ENSMUSG00000101054	0	0	0	0	0	0	0	0
ENSMUSG00000088691	0	0	0	0	0	0	0	0
ENSMUSG00000099884	0	0	0	0	0	0	0	0
ENSMUSG00000100304	0	0	0	0	0	0	0	0
ENSMUSG00000101453	0	0	0	0	0	0	0	0
ENSMUSG00000102105	0	0	0	0	0	0	0	0
ENSMUSG00000099943	0	0	0	0	0	0	0	0
ENSMUSG00002075119	0	0	0	0	0	0	0	0
ENSMUSG00000097648	0	0	0	0	0	0	0	0
ENSMUSG00000101687	0	0	0	0	0	0	0	0
ENSMUSG00000100515	0	0	0	0	0	0	0	0
ENSMUSG00000033021	3167	3552	3911	3518	3536	3050	3731	2410
ENSMUSG00000055214	16	4	16	4	8	23	22	100
ENSMUSG00000078184	4	4	2	8	8	2	16	7
ENSMUSG00000104363	0	0	0	0	0	0	0	0
ENSMUSG00000103277	0	0	0	0	0	0	0	0
ENSMUSG00000104157	0	0	0	0	0	0	0	8
ENSMUSG00000102446	0	0	0	0	0	0	0	0
ENSMUSG00000104248	0	0	0	0	0	0	0	0
ENSMUSG00000104021	0	0	0	0	0	0	0	0
ENSMUSG00000103471	0	0	0	0	0	0	0	0
ENSMUSG00000087875	0	0	0	0	0	0	0	0
ENSMUSG00000033007	7	10	4	6	2	7	16	16
ENSMUSG00000102605	0	0	1	0	0	0	2	0
ENSMUSG00000070695	54	8	38	24	8	106	76	64
ENSMUSG00000025909	7	2	14	4	0	12	12	7
ENSMUSG00002076179	0	0	0	0	0	0	0	0
ENSMUSG00000102033	0	0	0	0	0	0	0	0
ENSMUSG00000102647	0	0	0	0	0	0	0	0
ENSMUSG00000086235	2	0	0	0	0	0	0	0
ENSMUSG00000102253	0	0	0	0	0	0	0	0
ENSMUSG00002074990	0	0	0	0	0	0	0	0
ENSMUSG00000094429	0	0	0	0	0	0	0	0
ENSMUSG00000103884	0	0	0	0	0	0	0	0
ENSMUSG00000084353	8	12	6	8	10	4	14	0
ENSMUSG00000103933	2	8	2	6	4	0	2	4
ENSMUSG00002075967	0	0	0	0	2	0	0	0
ENSMUSG00000086195	0	0	0	0	0	0	0	0
ENSMUSG00000104504	0	0	0	0	0	0	0	0
ENSMUSG00000066693	0	0	0	0	0	0	0	0
ENSMUSG00000102316	0	0	0	0	0	0	0	0
ENSMUSG00000103819	0	0	0	0	0	0	0	0
ENSMUSG00000102871	0	0	0	0	0	0	0	0
ENSMUSG00000101571	0	0	0	0	0	0	2	0
ENSMUSG00000104428	0	0	0	0	0	0	0	0
ENSMUSG00000102272	0	0	0	0	0	0	0	0
ENSMUSG00000065625	0	0	0	0	0	0	0	0
ENSMUSG00000103411	0	0	0	0	0	0	0	0
ENSMUSG00000061024	980	1756	1900	1531	1744	762	998	996
ENSMUSG00000102030	8	0	0	2	2	4	4	2
ENSMUSG00000099870	0	0	0	0	0	0	0	0
ENSMUSG00000026374	2316	3000	3159	3117	3315	2862	2962	2176
ENSMUSG00000026377	1008	1766	1471	1528	1879	1360	1563	1126
ENSMUSG00000099936	0	0	0	0	0	0	0	0
ENSMUSG00000025911	140	38	41	37	28	110	124	188
ENSMUSG00000081441	0	2	4	0	2	2	0	6
ENSMUSG00000067879	8	2	0	2	0	10	4	6
ENSMUSG00000099827	0	0	0	0	0	0	0	0
ENSMUSG00000057335	549	302	481	338	398	680	731	534
ENSMUSG00000103634	4	0	0	0	0	0	0	0
ENSMUSG00000104154	1	2	0	0	2	6	3	5
ENSMUSG00000103435	0	0	0	0	0	4	0	0
ENSMUSG00000065573	0	0	0	0	0	0	0	0
ENSMUSG00002076271	0	0	0	0	0	0	0	0
ENSMUSG00000100551	2	6	20	6	10	18	0	6
ENSMUSG00000100357	0	0	0	0	0	0	0	0
ENSMUSG00000025912	160	72	125	93	106	171	216	107
ENSMUSG00000045210	2028	1424	2269	1576	1968	1685	2284	1884
ENSMUSG00000041763	2849	2457	3331	2748	3094	2731	3811	2379
ENSMUSG00000026504	370	355	335	362	491	381	419	308
ENSMUSG00000103367	0	0	0	0	0	0	0	0
ENSMUSG00000103584	0	0	0	0	0	0	0	0
ENSMUSG00002076339	0	0	0	0	0	0	0	0
ENSMUSG00000102475	0	0	0	0	0	0	0	0
ENSMUSG00000047343	4	4	2	0	0	4	4	0
ENSMUSG00000102211	0	0	0	0	0	8	0	0
ENSMUSG00000087082	0	0	0	0	0	0	0	0
ENSMUSG00000090106	0	0	0	0	0	0	0	0
ENSMUSG00000103251	0	0	0	0	0	0	0	2
ENSMUSG00000091844	26	4	8	0	8	2	26	18
ENSMUSG00000026483	8857	3344	4721	3924	3127	7988	10798	6995
ENSMUSG00000082528	0	0	0	0	0	0	0	0
ENSMUSG00000082012	0	0	0	0	0	0	0	0
ENSMUSG00000099996	0	0	0	0	0	2	0	0
ENSMUSG00000101763	0	0	0	0	0	0	0	0
ENSMUSG00000100827	0	0	0	0	0	0	0	0
ENSMUSG00000100553	0	0	0	0	0	0	0	0
ENSMUSG00000098611	0	0	0	0	0	0	0	0
ENSMUSG00000100534	0	0	0	0	0	0	0	0
ENSMUSG00000102904	0	0	0	0	0	0	0	0
ENSMUSG00002076350	0	0	0	0	0	0	0	0
ENSMUSG00000019699	1013	1931	2647	1965	3551	862	890	871
ENSMUSG00000104391	0	6	8	4	11	2	3	2
ENSMUSG00000102133	0	0	0	0	4	1	0	0
ENSMUSG00000102749	0	0	2	0	0	0	0	0
ENSMUSG00000103163	0	0	0	0	0	0	0	0
ENSMUSG00000103646	0	0	0	0	2	0	0	0
ENSMUSG00000102427	0	0	1	0	2	0	0	0
ENSMUSG00000103633	0	0	0	0	2	0	0	0
ENSMUSG00000097892	18	5	17	4	22	5	17	22
ENSMUSG00000063659	2302	1602	1940	1885	2082	1663	2003	2184
ENSMUSG00000102432	8	0	0	0	0	2	1	2
ENSMUSG00000103043	2	0	1	0	2	1	0	0
ENSMUSG00000102885	1	0	0	0	0	0	0	0
ENSMUSG00000026049	209	324	337	262	517	184	165	188
ENSMUSG00000103767	0	0	0	0	2	0	2	0
ENSMUSG00000043019	6643	3434	5264	3869	3213	6420	7729	4670
ENSMUSG00000101104	0	0	0	0	0	0	0	0
ENSMUSG00000015962	2	12	0	14	2	2	1	4
ENSMUSG00000032666	1283	958	1009	911	1289	1410	1750	1072
ENSMUSG00000084557	0	0	0	0	0	0	0	0
ENSMUSG00000100685	0	0	0	0	0	0	0	0
ENSMUSG00000102090	0	0	0	0	0	0	0	0
ENSMUSG00000103744	0	0	0	0	0	0	0	0
ENSMUSG00000015961	2874	3651	3758	3924	4961	2992	3405	2769
ENSMUSG00000089657	0	0	0	0	2	0	0	0
ENSMUSG00000102483	0	0	0	0	0	0	0	0
ENSMUSG00000014980	358	281	326	386	314	428	497	316
ENSMUSG00000026235	539	651	908	717	1177	712	849	407
ENSMUSG00000099141	0	0	0	0	4	0	0	0
ENSMUSG00000032649	104	27	24	20	10	90	100	103
ENSMUSG00000101849	2	4	4	2	8	2	2	0
ENSMUSG00000101506	0	0	0	0	0	0	0	0
ENSMUSG00000065215	0	0	0	0	0	0	0	0
ENSMUSG00000102052	0	0	0	0	0	0	0	0
ENSMUSG00000026047	463	376	464	363	403	519	655	365
ENSMUSG00000080878	0	0	0	0	0	0	0	0
ENSMUSG00000091476	119	8	7	23	14	56	83	33
ENSMUSG00000104097	30	10	7	5	6	9	12	24
ENSMUSG00000119789	0	0	0	0	0	0	0	0
ENSMUSG00000102493	4	0	2	0	0	2	4	1
ENSMUSG00000004872	0	0	0	0	0	0	0	0
ENSMUSG00000118426	4	2	0	6	5	16	6	7
ENSMUSG00000041684	832	489	498	426	354	767	910	656
ENSMUSG00000032908	6689	6828	8781	7199	6488	6845	9171	5644
ENSMUSG00000099561	0	0	2	0	0	1	1	0
ENSMUSG00000102945	0	0	0	0	0	0	0	0
ENSMUSG00000026502	2100	1741	2294	1798	1801	2123	2284	2126
ENSMUSG00000103958	0	0	0	0	0	0	0	0
ENSMUSG00000070489	2	0	0	2	2	3	2	0
ENSMUSG00000104126	8	10	4	10	15	18	12	21
ENSMUSG00000026500	20	19	25	23	27	14	30	30
ENSMUSG00000026048	859	564	603	489	643	820	1016	720
ENSMUSG00000046828	0	0	0	0	0	0	0	0
ENSMUSG00000089703	0	0	0	0	0	0	0	0
ENSMUSG00000100966	0	0	0	0	0	0	0	0
ENSMUSG00000100769	0	0	0	0	0	0	0	0
ENSMUSG00000101567	6	12	4	12	12	4	0	0
ENSMUSG00000026245	1620	2620	2821	2518	2639	2093	2600	1723
ENSMUSG00000101798	1	0	0	0	0	0	0	2
ENSMUSG00000104018	6	0	2	4	0	4	0	6
ENSMUSG00000090486	0	0	0	0	0	4	0	0
ENSMUSG00000026482	791	551	637	598	634	856	1128	718
ENSMUSG00000086145	0	0	0	0	0	0	0	0
ENSMUSG00000080950	2	0	3	2	7	4	3	6
ENSMUSG00000099868	0	0	0	0	0	0	0	2
ENSMUSG00000055547	0	0	4	0	0	0	0	2
ENSMUSG00000012187	2	0	0	0	0	2	8	4
ENSMUSG00000008475	10419	14896	14706	13261	14464	10129	11518	9990
ENSMUSG00000099364	120	6	4	8	8	103	88	114
ENSMUSG00000100562	0	0	0	0	0	0	0	0
ENSMUSG00000056870	649	222	499	321	86	613	718	528
ENSMUSG00000102319	0	0	2	0	0	0	0	0
ENSMUSG00000089877	0	0	0	0	0	0	0	0
ENSMUSG00000101701	1	0	0	2	0	0	2	1
ENSMUSG00000103071	0	0	0	0	0	0	0	0
ENSMUSG00000100434	0	0	0	0	0	0	0	0
ENSMUSG00000100013	0	0	0	0	0	0	0	0
ENSMUSG00000101251	0	0	0	0	0	0	0	0
ENSMUSG00000101937	0	0	0	0	0	0	0	0
ENSMUSG00000039630	15707	15444	20311	17606	19259	15889	18693	15523
ENSMUSG00000104279	33	28	17	8	16	22	55	30
ENSMUSG00002075531	0	0	0	0	0	0	0	0
ENSMUSG00000064954	0	0	0	0	0	0	0	0
ENSMUSG00000026495	174	72	120	95	84	127	200	134
ENSMUSG00000032883	9686	2606	2497	2747	2394	8062	9515	11900
ENSMUSG00000026480	954	2938	2801	2772	3444	944	1282	752
ENSMUSG00000026494	163	84	162	98	16	158	194	171
ENSMUSG00000064967	0	0	0	0	0	0	0	0
ENSMUSG00000102922	0	0	0	0	0	0	0	0
ENSMUSG00000025915	360	419	520	438	472	359	504	240
ENSMUSG00000089713	0	0	0	0	0	0	0	0
ENSMUSG00000079470	2084	639	841	853	674	1750	1869	3037
ENSMUSG00000099377	6	2	0	2	0	10	8	6
ENSMUSG00000099706	0	0	0	0	0	0	0	0
