Geneid	Cb_1	Cb_3_1	Cb_4_1	Cb_5_1	Cb_6	Control_4	Control_5_1	Control_6_1	Control_7_1	Control_8_1	Ox_1_1	Ox_3_1	Ox_4	Ox_7	Ox_8
ENSMUSG00000104478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086053	0	0	0	0	0	0	0	0	0	0	2	1	0	2	1
ENSMUSG00000101231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102135	7	8	8	4	4	0	4	2	4	6	0	0	14	12	8
ENSMUSG00000103282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100764	2	0	4	0	1	2	4	3	5	3	6	0	4	6	3
ENSMUSG00000102534	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSMUSG00000100831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100635	2	8	0	1	0	7	1	11	0	0	1	2	2	2	2
ENSMUSG00000102213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100480	12	4	11	7	4	0	15	6	1	9	13	12	22	0	8
ENSMUSG00000089037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002076531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100025	2	4	7	8	5	0	4	0	8	14	8	5	6	0	20
ENSMUSG00000051285	1742	1583	1821	1955	1280	2225	2844	2850	2888	2893	1503	1943	785	961	992
ENSMUSG00000098201	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2
ENSMUSG00000103509	24	75	67	50	8	14	42	8	48	50	41	44	0	10	4
ENSMUSG00000048538	86	26	22	16	38	23	52	18	17	50	14	30	24	38	8
ENSMUSG00000103709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097797	75	47	54	25	72	74	68	36	52	42	30	59	24	51	54
ENSMUSG00000103498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103067	225	171	203	156	162	38	91	75	53	28	26	90	35	58	112
ENSMUSG00000102320	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
