Geneid	C10TRR241ARE	C11TRR241ARE	C12TRR241ARE	C13TRR241ARE	C14TRR241ARE	C15TRR241ARE	C4TRR241ARE	C5TRR241ARE	C6TRR241ARE	C9TRR241ARE	SI10TRR241AR	SI11TRR241AR	SI12TRR241AR	SI13TRR241AR	SI14TRR241AR	SI15TRR241AR	SI4TRR241ARE	SI5TRR241ARE	SI6TRR241ARE	SI9TRR241ARE
ENSMUSG00000104478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086053	0	0	0	0	1	4	2	0	0	4	2	2	4	0	0	0	0	0	1	0
ENSMUSG00000101231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102135	6	2	0	8	2	2	4	4	2	0	2	4	2	0	2	8	10	8	4	2
ENSMUSG00000103282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100764	4	4	7	9	7	15	14	2	11	0	3	6	2	8	2	0	4	1	0	0
ENSMUSG00000102534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100635	0	2	7	4	4	1	3	2	6	4	0	0	0	2	0	0	2	0	0	3
ENSMUSG00000102213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100480	6	6	5	15	1	0	11	16	0	6	3	8	4	0	6	2	0	9	0	8
ENSMUSG00000089037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002076531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100025	12	2	0	8	4	0	4	2	4	2	6	0	2	2	2	10	2	2	10	4
ENSMUSG00000051285	3657	3798	3371	2722	3001	2914	3182	3307	3161	3738	1357	1797	1950	1884	1547	1683	1398	1826	2207	1560
ENSMUSG00000098201	0	1	0	2	0	5	0	0	3	2	0	0	0	0	0	0	0	0	2	0
ENSMUSG00000103509	70	65	93	118	117	121	56	165	147	100	26	41	35	69	46	42	28	53	64	20
ENSMUSG00000048538	24	12	26	20	14	28	7	22	14	12	2	14	8	8	2	4	6	12	8	8
ENSMUSG00000103709	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097797	51	137	94	123	70	69	94	62	40	93	43	29	34	27	19	23	28	24	23	41
ENSMUSG00000103498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103067	84	96	69	165	84	128	99	122	93	109	15	26	24	84	45	55	12	26	20	32
ENSMUSG00000102320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104226	0	0	0	0	0	0	4	0	2	2	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026312	2	0	0	4	4	4	0	0	2	4	0	0	0	0	0	0	0	2	0	0
ENSMUSG00000100290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000039748	299	171	252	265	154	443	254	325	251	168	176	222	285	213	168	184	95	200	228	179
ENSMUSG00000118715	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ENSMUSG00000057363	1456	1459	1075	1276	1250	1516	1320	1256	1261	1348	579	836	922	844	857	817	472	821	925	774
ENSMUSG00000047216	190	124	167	114	148	159	50	58	160	206	76	64	74	40	44	26	46	40	37	94
ENSMUSG00000102788	10	2	14	2	12	4	0	2	2	6	0	0	0	0	2	0	2	0	0	0
ENSMUSG00000102160	0	4	4	4	2	2	0	4	0	2	0	2	0	0	0	0	0	0	0	0
ENSMUSG00000101253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000090243	2	2	2	0	0	2	0	2	0	0	4	0	0	0	4	2	0	2	0	8
ENSMUSG00000100701	4	4	2	6	2	4	4	8	2	2	4	2	10	4	2	2	0	10	8	6
ENSMUSG00000100555	0	0	2	0	4	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000101395	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102728	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ENSMUSG00000088848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002075225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000038702	336	236	260	256	168	210	260	170	172	264	144	190	212	336	217	328	94	300	328	182
ENSMUSG00000101875	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002075119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097648	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ENSMUSG00000101687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033021	3111	2958	2976	2713	2858	2835	2894	2824	2827	2603	2830	3045	3850	2626	2125	2264	2673	2513	2621	3627
ENSMUSG00000055214	28	18	40	16	32	26	10	12	22	28	4	18	20	8	8	8	8	4	8	12
ENSMUSG00000078184	4	6	4	8	6	12	6	0	4	2	4	8	12	8	6	14	2	2	8	10
ENSMUSG00000104363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104157	2	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033007	2	2	26	10	6	4	1	6	3	0	2	2	13	0	6	6	4	0	3	18
ENSMUSG00000102605	0	0	0	0	0	0	0	2	4	0	3	0	1	0	0	0	0	2	0	2
ENSMUSG00000070695	46	38	20	30	28	30	22	12	20	42	52	54	48	12	26	18	40	32	30	18
ENSMUSG00000025909	12	8	10	4	10	22	0	2	10	8	12	18	10	26	53	28	8	42	28	13
ENSMUSG00002076179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102647	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
ENSMUSG00000086235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002074990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084353	8	4	4	6	2	4	4	2	0	8	4	6	4	5	8	4	3	6	4	4
ENSMUSG00000103933	8	2	0	11	8	2	14	4	3	10	6	2	0	7	4	10	0	7	4	8
